Leg,Site,H,Core,T,Sec,Top (cm),Depth (mbsf),Magnetic Suscept.,Corrected Suscept.,
145,883,B,1,H,2,4.6,1.546,154,                  ,
145,883,B,1,H,2,9.5,1.595,166,                  ,
145,883,B,1,H,2,14.6,1.646,165,                  ,
145,883,B,1,H,2,19.6,1.696,170,                  ,
145,883,B,1,H,2,24.5,1.745,167,                  ,
145,883,B,1,H,2,29.5,1.795,150,                  ,
145,883,B,1,H,2,34.6,1.846,132,                  ,
145,883,B,1,H,2,39.5,1.895,112,                  ,
145,883,B,1,H,2,44.5,1.945,151,                  ,
145,883,B,1,H,2,49.5,1.995,140,                  ,
145,883,B,1,H,2,54.5,2.045,128,                  ,
145,883,B,1,H,2,59.5,2.095,115,                  ,
145,883,B,1,H,2,64.5,2.145,115,                  ,
145,883,B,1,H,2,69.5,2.195,118,                  ,
145,883,B,1,H,2,74.5,2.245,128,                  ,
145,883,B,1,H,2,79.5,2.295,145,                  ,
145,883,B,1,H,2,84.5,2.345,142,                  ,
145,883,B,1,H,2,89.6,2.396,136,                  ,
145,883,B,1,H,2,94.5,2.445,121,                  ,
145,883,B,1,H,2,99.5,2.495,124,                  ,
145,883,B,1,H,2,104.5,2.545,139,                  ,
145,883,B,1,H,2,109.6,2.596,220,                  ,
145,883,B,1,H,2,114.5,2.645,139,                  ,
145,883,B,1,H,2,119.7,2.697,126,                  ,
145,883,B,1,H,2,124.7,2.747,112,                  ,
145,883,B,1,H,2,129.7,2.797,98,                  ,
145,883,B,1,H,3,4.6,3.046,145,                  ,
145,883,B,1,H,3,9.5,3.095,143,                  ,
145,883,B,1,H,3,14.5,3.145,147,                  ,
145,883,B,1,H,3,19.6,3.196,159,                  ,
145,883,B,1,H,3,24.5,3.245,150,                  ,
145,883,B,1,H,3,29.5,3.295,136,                  ,
145,883,B,1,H,3,34.5,3.345,120,                  ,
145,883,B,1,H,3,39.5,3.395,115,                  ,
145,883,B,1,H,3,44.5,3.445,118,                  ,
145,883,B,1,H,3,49.5,3.495,118,                  ,
145,883,B,1,H,3,54.5,3.545,123,                  ,
145,883,B,1,H,3,59.5,3.595,132,                  ,
145,883,B,1,H,3,64.5,3.645,131,                  ,
145,883,B,1,H,3,69.6,3.696,140,                  ,
145,883,B,1,H,3,74.7,3.747,189,                  ,
145,883,B,1,H,3,79.5,3.795,211,                  ,
145,883,B,1,H,3,84.6,3.846,189,                  ,
145,883,B,1,H,3,89.5,3.895,193,                  ,
145,883,B,1,H,3,94.6,3.946,185,                  ,
145,883,B,1,H,3,99.7,3.997,183,                  ,
145,883,B,1,H,3,104.5,4.045,173,                  ,
145,883,B,1,H,3,109.6,4.096,145,                  ,
145,883,B,1,H,3,114.5,4.145,84,                  ,
145,883,B,1,H,3,119.5,4.195,66,                  ,
145,883,B,1,H,3,124.5,4.245,89,                  ,
145,883,B,1,H,3,129.5,4.295,149,                  ,
145,883,B,1,H,3,134.7,4.347,150,                  ,
145,883,B,1,H,3,139.7,4.397,124,                  ,
145,883,B,1,H,3,144.6,4.446,87,                  ,
145,883,B,1,H,3,149.5,4.495,61,                  ,
145,883,B,1,H,4,4.6,4.546,94,                  ,
145,883,B,1,H,4,9.5,4.595,101,                  ,
145,883,B,1,H,4,14.6,4.646,116,                  ,
145,883,B,1,H,4,19.5,4.695,115,                  ,
145,883,B,1,H,4,24.6,4.746,105,                  ,
145,883,B,1,H,4,29.5,4.795,113,                  ,
145,883,B,1,H,4,34.5,4.845,134,                  ,
145,883,B,1,H,4,39.5,4.895,119,                  ,
145,883,B,1,H,4,44.5,4.945,106,                  ,
145,883,B,1,H,4,49.5,4.995,99,                  ,
145,883,B,1,H,4,54.5,5.045,87,                  ,
145,883,B,1,H,4,59.5,5.095,81,                  ,
145,883,B,1,H,4,64.6,5.146,86,                  ,
145,883,B,1,H,4,69.5,5.195,76,                  ,
145,883,B,1,H,4,74.5,5.245,71,                  ,
145,883,B,1,H,4,79.5,5.295,81,                  ,
145,883,B,1,H,4,84.5,5.345,82,                  ,
145,883,B,1,H,4,89.5,5.395,74,                  ,
145,883,B,1,H,4,94.6,5.446,74,                  ,
145,883,B,1,H,4,99.6,5.496,65,                  ,
145,883,B,1,H,4,104.5,5.545,62,                  ,
145,883,B,1,H,4,109.6,5.596,70,                  ,
145,883,B,1,H,4,114.5,5.645,80,                  ,
145,883,B,1,H,4,119.5,5.695,83,                  ,
145,883,B,1,H,4,124.5,5.745,80,                  ,
145,883,B,1,H,4,129.5,5.795,66,                  ,
145,883,B,1,H,4,134.6,5.846,82,                  ,
145,883,B,1,H,4,139.5,5.895,66,                  ,
145,883,B,1,H,4,144.5,5.945,50,                  ,
145,883,B,1,H,4,149.6,5.996,43,                  ,
145,883,B,1,H,5,4.5,6.045,71,                  ,
145,883,B,1,H,5,9.5,6.095,80,                  ,
145,883,B,1,H,5,14.5,6.145,93,                  ,
145,883,B,1,H,5,19.5,6.195,100,                  ,
145,883,B,1,H,5,24.5,6.245,103,                  ,
145,883,B,1,H,5,29.5,6.295,122,                  ,
145,883,B,1,H,5,34.6,6.346,254,                  ,
145,883,B,1,H,5,39.5,6.395,117,                  ,
145,883,B,1,H,5,44.5,6.445,101,                  ,
145,883,B,1,H,5,49.7,6.497,96,                  ,
145,883,B,1,H,5,54.5,6.545,89,                  ,
145,883,B,1,H,5,59.6,6.596,117,                  ,
145,883,B,1,H,5,64.5,6.645,114,                  ,
145,883,B,1,H,5,69.5,6.695,101,                  ,
145,883,B,1,H,5,74.5,6.745,95,                  ,
145,883,B,1,H,5,79.5,6.795,92,                  ,
145,883,B,1,H,5,84.6,6.846,74,                  ,
145,883,B,1,H,5,89.6,6.896,61,                  ,
145,883,B,1,H,5,94.6,6.946,58,                  ,
145,883,B,1,H,5,99.5,6.995,55,                  ,
145,883,B,1,H,5,104.5,7.045,66,                  ,
145,883,B,1,H,5,109.6,7.096,90,                  ,
145,883,B,1,H,5,114.5,7.145,119,                  ,
145,883,B,1,H,5,119.7,7.197,127,                  ,
145,883,B,1,H,5,124.6,7.246,154,                  ,
145,883,B,1,H,5,129.6,7.296,174,                  ,
145,883,B,1,H,5,134.5,7.345,157,                  ,
145,883,B,1,H,5,139.5,7.395,134,                  ,
145,883,B,1,H,5,144.5,7.445,134,                  ,
145,883,B,1,H,5,149.5,7.495,117,                  ,
145,883,B,1,H,6,4.6,7.546,137,                  ,
145,883,B,1,H,6,9.5,7.595,137,                  ,
145,883,B,1,H,6,14.5,7.645,117,                  ,
145,883,B,1,H,6,19.5,7.695,107,                  ,
145,883,B,2,H,1,4.6,7.946,82,                  ,
145,883,B,2,H,1,9.5,7.995,94,                  ,
145,883,B,2,H,1,14.5,8.045,109,                  ,
145,883,B,2,H,1,19.5,8.095,125,                  ,
145,883,B,2,H,1,24.5,8.145,123,                  ,
145,883,B,2,H,1,29.5,8.195,132,                  ,
145,883,B,2,H,1,34.5,8.245,130,                  ,
145,883,B,2,H,1,39.5,8.295,141,                  ,
145,883,B,2,H,1,44.5,8.345,125,                  ,
145,883,B,2,H,1,49.6,8.396,137,                  ,
145,883,B,2,H,1,54.5,8.445,130,                  ,
145,883,B,2,H,1,59.6,8.496,131,                  ,
145,883,B,2,H,1,64.6,8.546,120,                  ,
145,883,B,2,H,1,69.5,8.595,64,                  ,
145,883,B,2,H,1,74.5,8.645,101,                  ,
145,883,B,2,H,1,79.5,8.695,117,                  ,
145,883,B,2,H,1,84.5,8.745,158,                  ,
145,883,B,2,H,1,89.5,8.795,193,                  ,
145,883,B,2,H,1,94.6,8.846,285,                  ,
145,883,B,2,H,1,99.5,8.895,363,                  ,
145,883,B,2,H,1,104.6,8.946,204,                  ,
145,883,B,2,H,1,109.7,8.997,136,                  ,
145,883,B,2,H,1,114.7,9.047,116,                  ,
145,883,B,2,H,1,119.6,9.096,124,                  ,
145,883,B,2,H,1,124.5,9.145,149,                  ,
145,883,B,2,H,1,129.5,9.195,161,                  ,
145,883,B,2,H,1,134.5,9.245,151,                  ,
145,883,B,2,H,1,139.5,9.295,153,                  ,
145,883,B,2,H,1,144.6,9.346,143,                  ,
145,883,B,2,H,1,149.6,9.396,141,                  ,
145,883,B,2,H,2,4.5,9.445,148,                  ,
145,883,B,2,H,2,9.5,9.495,156,                  ,
145,883,B,2,H,2,14.5,9.545,150,                  ,
145,883,B,2,H,2,19.6,9.596,136,                  ,
145,883,B,2,H,2,24.5,9.645,119,                  ,
145,883,B,2,H,2,29.5,9.695,119,                  ,
145,883,B,2,H,2,34.5,9.745,91,                  ,
145,883,B,2,H,2,39.5,9.795,93,                  ,
145,883,B,2,H,2,44.6,9.846,108,                  ,
145,883,B,2,H,2,49.5,9.895,119,                  ,
145,883,B,2,H,2,54.5,9.945,128,                  ,
145,883,B,2,H,2,59.5,9.995,144,                  ,
145,883,B,2,H,2,64.5,10.045,132,                  ,
145,883,B,2,H,2,69.5,10.095,107,                  ,
145,883,B,2,H,2,74.5,10.145,102,                  ,
145,883,B,2,H,2,79.6,10.196,105,                  ,
145,883,B,2,H,2,84.5,10.245,94,                  ,
145,883,B,2,H,2,89.5,10.295,81,                  ,
145,883,B,2,H,2,94.5,10.345,78,                  ,
145,883,B,2,H,2,99.5,10.395,119,                  ,
145,883,B,2,H,2,104.6,10.446,127,                  ,
145,883,B,2,H,2,109.6,10.496,128,                  ,
145,883,B,2,H,2,114.6,10.546,132,                  ,
145,883,B,2,H,2,119.5,10.595,116,                  ,
145,883,B,2,H,2,124.6,10.646,89,                  ,
145,883,B,2,H,2,129.6,10.696,44,                  ,
145,883,B,2,H,2,134.5,10.745,41,                  ,
145,883,B,2,H,2,139.7,10.797,46,                  ,
145,883,B,2,H,2,144.6,10.846,55,                  ,
145,883,B,2,H,2,149.7,10.897,68,                  ,
145,883,B,2,H,3,4.5,10.945,72,                  ,
145,883,B,2,H,3,9.5,10.995,98,                  ,
145,883,B,2,H,3,14.5,11.045,94,                  ,
145,883,B,2,H,3,19.5,11.095,97,                  ,
145,883,B,2,H,3,24.5,11.145,101,                  ,
145,883,B,2,H,3,29.5,11.195,111,                  ,
145,883,B,2,H,3,34.5,11.245,137,                  ,
145,883,B,2,H,3,39.5,11.295,130,                  ,
145,883,B,2,H,3,44.6,11.346,117,                  ,
145,883,B,2,H,3,49.5,11.395,134,                  ,
145,883,B,2,H,3,54.6,11.446,146,                  ,
145,883,B,2,H,3,59.7,11.497,207,                  ,
145,883,B,2,H,3,64.6,11.546,259,                  ,
145,883,B,2,H,3,69.5,11.595,191,                  ,
145,883,B,2,H,3,74.5,11.645,133,                  ,
145,883,B,2,H,3,79.5,11.695,83,                  ,
145,883,B,2,H,3,84.6,11.746,51,                  ,
145,883,B,2,H,3,89.5,11.795,34,                  ,
145,883,B,2,H,3,94.5,11.845,24,                  ,
145,883,B,2,H,3,99.5,11.895,23,                  ,
145,883,B,2,H,3,104.7,11.947,30,                  ,
145,883,B,2,H,3,109.6,11.996,43,                  ,
145,883,B,2,H,3,114.6,12.046,145,                  ,
145,883,B,2,H,3,119.5,12.095,175,                  ,
145,883,B,2,H,3,124.6,12.146,170,                  ,
145,883,B,2,H,3,129.5,12.195,138,                  ,
145,883,B,2,H,3,134.7,12.247,110,                  ,
145,883,B,2,H,3,139.6,12.296,114,                  ,
145,883,B,2,H,3,144.6,12.346,73,                  ,
145,883,B,2,H,3,149.5,12.395,51,                  ,
145,883,B,2,H,4,4.5,12.445,96,                  ,
145,883,B,2,H,4,9.5,12.495,113,                  ,
145,883,B,2,H,4,14.5,12.545,129,                  ,
145,883,B,2,H,4,19.5,12.595,94,                  ,
145,883,B,2,H,4,24.5,12.645,78,                  ,
145,883,B,2,H,4,29.5,12.695,65,                  ,
145,883,B,2,H,4,34.5,12.745,59,                  ,
145,883,B,2,H,4,39.6,12.796,64,                  ,
145,883,B,2,H,4,44.5,12.845,75,                  ,
145,883,B,2,H,4,49.5,12.895,69,                  ,
145,883,B,2,H,4,54.5,12.945,67,                  ,
145,883,B,2,H,4,59.7,12.997,63,                  ,
145,883,B,2,H,4,64.5,13.045,67,                  ,
145,883,B,2,H,4,69.5,13.095,72,                  ,
145,883,B,2,H,4,74.6,13.146,85,                  ,
145,883,B,2,H,4,79.5,13.195,101,                  ,
145,883,B,2,H,4,84.5,13.245,106,                  ,
145,883,B,2,H,4,89.5,13.295,106,                  ,
145,883,B,2,H,4,94.6,13.346,115,                  ,
145,883,B,2,H,4,99.6,13.396,116,                  ,
145,883,B,2,H,4,104.5,13.445,102,                  ,
145,883,B,2,H,4,109.5,13.495,81,                  ,
145,883,B,2,H,4,114.6,13.546,100,                  ,
145,883,B,2,H,4,119.5,13.595,113,                  ,
145,883,B,2,H,4,124.7,13.647,112,                  ,
145,883,B,2,H,4,129.6,13.696,98,                  ,
145,883,B,2,H,4,134.5,13.745,83,                  ,
145,883,B,2,H,4,139.7,13.797,96,                  ,
145,883,B,2,H,4,144.7,13.847,104,                  ,
145,883,B,2,H,4,149.5,13.895,85,                  ,
145,883,B,2,H,5,4.5,13.945,100,                  ,
145,883,B,2,H,5,9.6,13.996,96,                  ,
145,883,B,2,H,5,14.5,14.045,98,                  ,
145,883,B,2,H,5,19.5,14.095,97,                  ,
145,883,B,2,H,5,24.5,14.145,101,                  ,
145,883,B,2,H,5,29.5,14.195,133,                  ,
145,883,B,2,H,5,34.5,14.245,123,                  ,
145,883,B,2,H,5,39.5,14.295,186,                  ,
145,883,B,2,H,5,44.5,14.345,148,                  ,
145,883,B,2,H,5,49.5,14.395,109,                  ,
145,883,B,2,H,5,54.5,14.445,116,                  ,
145,883,B,2,H,5,59.6,14.496,137,                  ,
145,883,B,2,H,5,64.6,14.546,153,                  ,
145,883,B,2,H,5,69.6,14.596,156,                  ,
145,883,B,2,H,5,74.6,14.646,172,                  ,
145,883,B,2,H,5,79.5,14.695,169,                  ,
145,883,B,2,H,5,84.5,14.745,179,                  ,
145,883,B,2,H,5,89.5,14.795,188,                  ,
145,883,B,2,H,5,94.5,14.845,179,                  ,
145,883,B,2,H,5,99.5,14.895,171,                  ,
145,883,B,2,H,5,104.7,14.947,207,                  ,
145,883,B,2,H,5,109.6,14.996,189,                  ,
145,883,B,2,H,5,114.5,15.045,168,                  ,
145,883,B,2,H,5,119.5,15.095,163,                  ,
145,883,B,2,H,5,124.5,15.145,165,                  ,
145,883,B,2,H,5,129.6,15.196,183,                  ,
145,883,B,2,H,5,134.6,15.246,170,                  ,
145,883,B,2,H,5,139.5,15.295,145,                  ,
145,883,B,2,H,5,144.5,15.345,139,                  ,
145,883,B,2,H,5,149.7,15.397,95,                  ,
145,883,B,2,H,6,4.5,15.445,101,                  ,
145,883,B,2,H,6,9.5,15.495,100,                  ,
145,883,B,2,H,6,14.5,15.545,137,                  ,
145,883,B,2,H,6,19.5,15.595,97,                  ,
145,883,B,2,H,6,24.5,15.645,101,                  ,
145,883,B,2,H,6,29.6,15.696,116,                  ,
145,883,B,2,H,6,34.6,15.746,144,                  ,
145,883,B,2,H,6,39.5,15.795,128,                  ,
145,883,B,2,H,6,44.6,15.846,128,                  ,
145,883,B,2,H,6,49.5,15.895,158,                  ,
145,883,B,2,H,6,54.5,15.945,155,                  ,
145,883,B,2,H,6,59.5,15.995,166,                  ,
145,883,B,2,H,6,64.7,16.047,154,                  ,
145,883,B,2,H,6,69.5,16.095,132,                  ,
145,883,B,2,H,6,74.5,16.145,155,                  ,
145,883,B,2,H,6,79.5,16.195,162,                  ,
145,883,B,2,H,6,84.5,16.245,154,                  ,
145,883,B,2,H,6,89.5,16.295,326,                  ,
145,883,B,2,H,6,94.6,16.346,311,                  ,
145,883,B,2,H,6,99.5,16.395,148,                  ,
145,883,B,2,H,6,104.6,16.446,107,                  ,
145,883,B,2,H,6,109.6,16.496,73,                  ,
145,883,B,2,H,6,114.5,16.545,53,                  ,
145,883,B,2,H,6,119.5,16.595,48,                  ,
145,883,B,2,H,6,124.5,16.645,80,                  ,
145,883,B,2,H,6,129.5,16.695,224,                  ,
145,883,B,2,H,6,134.5,16.745,137,                  ,
145,883,B,2,H,6,139.5,16.795,109,                  ,
145,883,B,2,H,6,144.5,16.845,105,                  ,
145,883,B,2,H,6,149.5,16.895,84,                  ,
145,883,B,2,H,7,4.5,16.945,137,                  ,
145,883,B,2,H,7,9.5,16.995,144,                  ,
145,883,B,2,H,7,14.5,17.045,101,                  ,
145,883,B,2,H,7,19.5,17.095,90,                  ,
145,883,B,2,H,7,24.5,17.145,97,                  ,
145,883,B,2,H,7,29.5,17.195,100,                  ,
145,883,B,2,H,7,34.5,17.245,107,                  ,
145,883,B,2,H,7,39.5,17.295,117,                  ,
145,883,B,2,H,7,44.5,17.345,121,                  ,
145,883,B,2,H,7,49.5,17.395,103,                  ,
145,883,B,2,H,7,54.5,17.445,62,                  ,
145,883,B,2,H,7,59.5,17.495,35,                  ,
145,883,B,2,H,7,64.6,17.546,51,                  ,
145,883,B,2,H,7,69.5,17.595,60,                  ,
145,883,B,3,H,2,4.5,18.945,120,                  ,
145,883,B,3,H,2,9.5,18.995,135,                  ,
145,883,B,3,H,2,14.5,19.045,116,                  ,
145,883,B,3,H,2,19.5,19.095,102,                  ,
145,883,B,3,H,2,24.5,19.145,103,                  ,
145,883,B,3,H,2,29.5,19.195,108,                  ,
145,883,B,3,H,2,34.5,19.245,113,                  ,
145,883,B,3,H,2,39.5,19.295,127,                  ,
145,883,B,3,H,2,44.6,19.346,153,                  ,
145,883,B,3,H,2,49.6,19.396,150,                  ,
145,883,B,3,H,2,54.5,19.445,98,                  ,
145,883,B,3,H,2,59.5,19.495,80,                  ,
145,883,B,3,H,2,64.5,19.545,73,                  ,
145,883,B,3,H,2,69.6,19.596,70,                  ,
145,883,B,3,H,2,74.5,19.645,77,                  ,
145,883,B,3,H,2,79.6,19.696,85,                  ,
145,883,B,3,H,2,84.5,19.745,90,                  ,
145,883,B,3,H,2,89.6,19.796,84,                  ,
145,883,B,3,H,2,94.7,19.847,85,                  ,
145,883,B,3,H,2,99.5,19.895,90,                  ,
145,883,B,3,H,2,104.6,19.946,91,                  ,
145,883,B,3,H,2,109.7,19.997,104,                  ,
145,883,B,3,H,2,114.5,20.045,121,                  ,
145,883,B,3,H,2,119.5,20.095,124,                  ,
145,883,B,3,H,2,124.6,20.146,120,                  ,
145,883,B,3,H,2,129.6,20.196,120,                  ,
145,883,B,3,H,2,134.5,20.245,128,                  ,
145,883,B,3,H,2,139.7,20.297,127,                  ,
145,883,B,3,H,2,144.5,20.345,144,                  ,
145,883,B,3,H,2,149.5,20.395,135,                  ,
145,883,B,3,H,3,4.6,20.446,152,                  ,
145,883,B,3,H,3,9.5,20.495,160,                  ,
145,883,B,3,H,3,14.5,20.545,149,                  ,
145,883,B,3,H,3,19.5,20.595,150,                  ,
145,883,B,3,H,3,24.5,20.645,154,                  ,
145,883,B,3,H,3,29.5,20.695,164,                  ,
145,883,B,3,H,3,34.5,20.745,171,                  ,
145,883,B,3,H,3,39.5,20.795,154,                  ,
145,883,B,3,H,3,44.5,20.845,180,                  ,
145,883,B,3,H,3,49.6,20.896,188,                  ,
145,883,B,3,H,3,54.5,20.945,180,                  ,
145,883,B,3,H,3,59.5,20.995,179,                  ,
145,883,B,3,H,3,64.5,21.045,185,                  ,
145,883,B,3,H,3,69.6,21.096,180,                  ,
145,883,B,3,H,3,74.5,21.145,170,                  ,
145,883,B,3,H,3,79.5,21.195,151,                  ,
145,883,B,3,H,3,84.6,21.246,127,                  ,
145,883,B,3,H,3,89.6,21.296,102,                  ,
145,883,B,3,H,3,94.5,21.345,145,                  ,
145,883,B,3,H,3,99.5,21.395,121,                  ,
145,883,B,3,H,3,104.5,21.445,124,                  ,
145,883,B,3,H,3,109.6,21.496,123,                  ,
145,883,B,3,H,3,114.6,21.546,66,                  ,
145,883,B,3,H,3,119.5,21.595,76,                  ,
145,883,B,3,H,3,124.6,21.646,144,                  ,
145,883,B,3,H,3,129.6,21.696,155,                  ,
145,883,B,3,H,3,134.5,21.745,165,                  ,
145,883,B,3,H,3,139.5,21.795,159,                  ,
145,883,B,3,H,3,144.7,21.847,141,                  ,
145,883,B,3,H,3,149.5,21.895,90,                  ,
145,883,B,3,H,4,4.5,21.945,80,                  ,
145,883,B,3,H,4,9.5,21.995,47,                  ,
145,883,B,3,H,4,14.5,22.045,37,                  ,
145,883,B,3,H,4,19.5,22.095,46,                  ,
145,883,B,3,H,4,24.5,22.145,49,                  ,
145,883,B,3,H,4,29.5,22.195,124,                  ,
145,883,B,3,H,4,34.5,22.245,146,                  ,
145,883,B,3,H,4,39.5,22.295,148,                  ,
145,883,B,3,H,4,44.6,22.346,155,                  ,
145,883,B,3,H,4,49.5,22.395,125,                  ,
145,883,B,3,H,4,54.5,22.445,98,                  ,
145,883,B,3,H,4,59.6,22.496,72,                  ,
145,883,B,3,H,4,64.5,22.545,93,                  ,
145,883,B,3,H,4,69.5,22.595,120,                  ,
145,883,B,3,H,4,74.5,22.645,173,                  ,
145,883,B,3,H,4,79.5,22.695,183,                  ,
145,883,B,3,H,4,84.6,22.746,141,                  ,
145,883,B,3,H,4,89.5,22.795,168,                  ,
145,883,B,3,H,4,94.6,22.846,167,                  ,
145,883,B,3,H,4,99.6,22.896,289,                  ,
145,883,B,3,H,4,104.6,22.946,665,                  ,
145,883,B,3,H,4,109.5,22.995,255,                  ,
145,883,B,3,H,4,114.5,23.045,134,                  ,
145,883,B,3,H,4,119.6,23.096,91,                  ,
